Comment,Designator,Footprint,LCSC Part #
0.1uf,C4,C0603,C286510
1N5819WS S4,D1,SOD-323F,C2927280
2k,R4 R5,R0603,C163892
5.1k,R1 R2,R0603,C105580
10k,R6 R7 R8 R9,R0603,C99198
10uf,C1 C2 C3,C0603,C1691
100K,R3,R0603,C14675
503398-1892,J3,MOLEX_503398-1892,C428492
AMS1117-5.0,U1,SOT229P700X180-4N,C489390
BAS40HMFHT116,D2,TSM260P02CXRFG,C509812
FFC3B07-20-TREVERSE,J2,20PIN-1MM-REVERSE,C2797231
RED,LED2,CHIP-LED0603, C84263
TSM260P02CX RFG,T1,TSM260P02CXRFG,C181094
YELLOW,LED1,CHIP-LED0603,C72038
79107-20_S,J1,79107-20,C2938464
TYPE-C-31-D-09,J4,TYPE-C-31-D-09,C7463258
