Designator,Mid X,Mid Y,Layer,Rotation
C1,23.92,21.21,Top,0
C2,19.9,21.21,Top,180
C3,39.49,35.52,Top,270
C4,2.16,40.01,Top,270
D1,28.58,26.67,Top,270
D2,32,28.96,Top,0
J1,46.48,22.48,Top,270
J2,24.71,5.33,Top,0
J3,7.62,30.1,Top,90
J4,50.29,38.86,Top,180
LED1,30.1,80.77,Top,270
LED2,24.38,80.77,Top,270
R1,52.83,35.52,Top,90
R2,52.83,40.47,Top,270
R3,35.43,35.52,Top,270
R4,24.38,77.72,Top,180
R5,30.1,77.72,Top,0
R6,10.67,40.01,Top,90
R7,8,40.01,Top,90
R8,5.33,40.01,Top,90
R9,13.34,40.01,Top,90
T1,32,24,Top,0
U1,21.92,28.19,Top,90
